Id,Id2,Geography,Median household income in 1999
1400000US36005031400,36005031400,"Census Tract 314, Bronx County, New York",64167
1400000US36005031600,36005031600,"Census Tract 316, Bronx County, New York",41364
1400000US36005031700,36005031700,"Census Tract 317, Bronx County, New York",9625
1400000US36005031800,36005031800,"Census Tract 318, Bronx County, New York",59179
1400000US36005031900,36005031900,"Census Tract 319, Bronx County, New York",0
1400000US36005032000,36005032000,"Census Tract 320, Bronx County, New York",57292
1400000US36005032200,36005032200,"Census Tract 322, Bronx County, New York",45458
1400000US36005032300,36005032300,"Census Tract 323, Bronx County, New York",58071
1400000US36005032400,36005032400,"Census Tract 324, Bronx County, New York",18942
1400000US36005032800,36005032800,"Census Tract 328, Bronx County, New York",28347
1400000US36005032900,36005032900,"Census Tract 329, Bronx County, New York",65080
1400000US36005033000,36005033000,"Census Tract 330, Bronx County, New York",30619
1400000US36005033200,36005033200,"Census Tract 332, Bronx County, New York",32997
1400000US36005033300,36005033300,"Census Tract 333, Bronx County, New York",168061
1400000US36005033400,36005033400,"Census Tract 334, Bronx County, New York",31250
1400000US36005033600,36005033600,"Census Tract 336, Bronx County, New York",25065
1400000US36005033800,36005033800,"Census Tract 338, Bronx County, New York",25060
1400000US36005033900,36005033900,"Census Tract 339, Bronx County, New York",50417
1400000US36005034000,36005034000,"Census Tract 340, Bronx County, New York",29459
1400000US36005034100,36005034100,"Census Tract 341, Bronx County, New York",61076
1400000US36005034200,36005034200,"Census Tract 342, Bronx County, New York",40800
1400000US36005034300,36005034300,"Census Tract 343, Bronx County, New York",60417
1400000US36005034400,36005034400,"Census Tract 344, Bronx County, New York",40368
1400000US36005034500,36005034500,"Census Tract 345, Bronx County, New York",51250
1400000US36005034600,36005034600,"Census Tract 346, Bronx County, New York",32821
1400000US36005035000,36005035000,"Census Tract 350, Bronx County, New York",52656
1400000US36005035100,36005035100,"Census Tract 351, Bronx County, New York",49957
1400000US36005035200,36005035200,"Census Tract 352, Bronx County, New York",33274
1400000US36005035400,36005035400,"Census Tract 354, Bronx County, New York",66250
1400000US36005035600,36005035600,"Census Tract 356, Bronx County, New York",48859
1400000US36005035800,36005035800,"Census Tract 358, Bronx County, New York",43954
1400000US36005035900,36005035900,"Census Tract 359, Bronx County, New York",31767
1400000US36005036100,36005036100,"Census Tract 361, Bronx County, New York",12723
1400000US36005036300,36005036300,"Census Tract 363, Bronx County, New York",14632
1400000US36005036400,36005036400,"Census Tract 364, Bronx County, New York",62644
1400000US36005036501,36005036501,"Census Tract 365.01, Bronx County, New York",18125
1400000US36005036502,36005036502,"Census Tract 365.02, Bronx County, New York",18402
1400000US36005036600,36005036600,"Census Tract 366, Bronx County, New York",46193
1400000US36005036700,36005036700,"Census Tract 367, Bronx County, New York",17214
1400000US36005036800,36005036800,"Census Tract 368, Bronx County, New York",36406
1400000US36005036901,36005036901,"Census Tract 369.01, Bronx County, New York",11172
1400000US36005036902,36005036902,"Census Tract 369.02, Bronx County, New York",15602
1400000US36005037000,36005037000,"Census Tract 370, Bronx County, New York",44375
1400000US36005037100,36005037100,"Census Tract 371, Bronx County, New York",16570
1400000US36005037200,36005037200,"Census Tract 372, Bronx County, New York",34180
1400000US36005037300,36005037300,"Census Tract 373, Bronx County, New York",22536
1400000US36005037400,36005037400,"Census Tract 374, Bronx County, New York",22137
1400000US36005037501,36005037501,"Census Tract 375.01, Bronx County, New York",18854
1400000US36005037502,36005037502,"Census Tract 375.02, Bronx County, New York",12304
1400000US36005037503,36005037503,"Census Tract 375.03, Bronx County, New York",13667
1400000US36005037600,36005037600,"Census Tract 376, Bronx County, New York",30132
1400000US36005037700,36005037700,"Census Tract 377, Bronx County, New York",13945
1400000US36005037800,36005037800,"Census Tract 378, Bronx County, New York",30893
1400000US36005037900,36005037900,"Census Tract 379, Bronx County, New York",22824
1400000US36005038000,36005038000,"Census Tract 380, Bronx County, New York",30734
1400000US36005038100,36005038100,"Census Tract 381, Bronx County, New York",19349
1400000US36005038200,36005038200,"Census Tract 382, Bronx County, New York",42102
1400000US36005038300,36005038300,"Census Tract 383, Bronx County, New York",16433
1400000US36005038500,36005038500,"Census Tract 385, Bronx County, New York",14679
1400000US36005038600,36005038600,"Census Tract 386, Bronx County, New York",35696
1400000US36005038700,36005038700,"Census Tract 387, Bronx County, New York",17130
1400000US36005038800,36005038800,"Census Tract 388, Bronx County, New York",39420
1400000US36005038900,36005038900,"Census Tract 389, Bronx County, New York",21936
1400000US36005039000,36005039000,"Census Tract 390, Bronx County, New York",37222
1400000US36005039100,36005039100,"Census Tract 391, Bronx County, New York",19031
1400000US36005039200,36005039200,"Census Tract 392, Bronx County, New York",32440
1400000US36005039300,36005039300,"Census Tract 393, Bronx County, New York",13163
1400000US36005039400,36005039400,"Census Tract 394, Bronx County, New York",30814
1400000US36005039600,36005039600,"Census Tract 396, Bronx County, New York",24045
1400000US36005039700,36005039700,"Census Tract 397, Bronx County, New York",13250
1400000US36005039800,36005039800,"Census Tract 398, Bronx County, New York",40821
1400000US36005039901,36005039901,"Census Tract 399.01, Bronx County, New York",19375
1400000US36005039902,36005039902,"Census Tract 399.02, Bronx County, New York",16771
1400000US36005040100,36005040100,"Census Tract 401, Bronx County, New York",26779
1400000US36005040301,36005040301,"Census Tract 403.01, Bronx County, New York",26947
1400000US36005040302,36005040302,"Census Tract 403.02, Bronx County, New York",18750
1400000US36005040400,36005040400,"Census Tract 404, Bronx County, New York",37750
1400000US36005040500,36005040500,"Census Tract 405, Bronx County, New York",24709
1400000US36005040600,36005040600,"Census Tract 406, Bronx County, New York",29773
1400000US36005040701,36005040701,"Census Tract 407.01, Bronx County, New York",22014
1400000US36005040702,36005040702,"Census Tract 407.02, Bronx County, New York",28198
1400000US36005040800,36005040800,"Census Tract 408, Bronx County, New York",29826
1400000US36005040900,36005040900,"Census Tract 409, Bronx County, New York",41147
1400000US36005041000,36005041000,"Census Tract 410, Bronx County, New York",0
1400000US36005041100,36005041100,"Census Tract 411, Bronx County, New York",35320
1400000US36005041300,36005041300,"Census Tract 413, Bronx County, New York",32037
1400000US36005041400,36005041400,"Census Tract 414, Bronx County, New York",33585
1400000US36005041500,36005041500,"Census Tract 415, Bronx County, New York",30763
1400000US36005041800,36005041800,"Census Tract 418, Bronx County, New York",42481
1400000US36005041900,36005041900,"Census Tract 419, Bronx County, New York",26530
1400000US36005042000,36005042000,"Census Tract 420, Bronx County, New York",26175
1400000US36005042100,36005042100,"Census Tract 421, Bronx County, New York",30272
1400000US36005042200,36005042200,"Census Tract 422, Bronx County, New York",35078
1400000US36005042300,36005042300,"Census Tract 423, Bronx County, New York",35491
1400000US36005042400,36005042400,"Census Tract 424, Bronx County, New York",46843
1400000US36005042500,36005042500,"Census Tract 425, Bronx County, New York",27914
1400000US36005042600,36005042600,"Census Tract 426, Bronx County, New York",50972
1400000US36005042800,36005042800,"Census Tract 428, Bronx County, New York",61600
1400000US36005042901,36005042901,"Census Tract 429.01, Bronx County, New York",27162
1400000US36005042902,36005042902,"Census Tract 429.02, Bronx County, New York",28381
1400000US36005043000,36005043000,"Census Tract 430, Bronx County, New York",48580
1400000US36005043100,36005043100,"Census Tract 431, Bronx County, New York",27774
1400000US36005043200,36005043200,"Census Tract 432, Bronx County, New York",31327
1400000US36005043500,36005043500,"Census Tract 435, Bronx County, New York",80488
1400000US36005043600,36005043600,"Census Tract 436, Bronx County, New York",55588
1400000US36005043800,36005043800,"Census Tract 438, Bronx County, New York",42413
1400000US36005044000,36005044000,"Census Tract 440, Bronx County, New York",30750
1400000US36005044200,36005044200,"Census Tract 442, Bronx County, New York",36475
1400000US36005044600,36005044600,"Census Tract 446, Bronx County, New York",51615
1400000US36005044800,36005044800,"Census Tract 448, Bronx County, New York",63625
1400000US36005044901,36005044901,"Census Tract 449.01, Bronx County, New York",52500
1400000US36005044902,36005044902,"Census Tract 449.02, Bronx County, New York",45379
1400000US36005045101,36005045101,"Census Tract 451.01, Bronx County, New York",43106
1400000US36005045102,36005045102,"Census Tract 451.02, Bronx County, New York",39931
1400000US36005045400,36005045400,"Census Tract 454, Bronx County, New York",57019
1400000US36005045800,36005045800,"Census Tract 458, Bronx County, New York",12960
1400000US36005046000,36005046000,"Census Tract 460, Bronx County, New York",30802
1400000US36005046201,36005046201,"Census Tract 462.01, Bronx County, New York",40843
1400000US36005046202,36005046202,"Census Tract 462.02, Bronx County, New York",39345
1400000US36005048400,36005048400,"Census Tract 484, Bronx County, New York",57853
1400000US36005050200,36005050200,"Census Tract 502, Bronx County, New York",63333
1400000US36005050400,36005050400,"Census Tract 504, Bronx County, New York",0
1400000US36005051600,36005051600,"Census Tract 516, Bronx County, New York",56750
1400000US36047000100,36047000100,"Census Tract 1, Kings County, New York",63333
1400000US36047000200,36047000200,"Census Tract 2, Kings County, New York",29219
1400000US36047000301,36047000301,"Census Tract 3.01, Kings County, New York",83739
1400000US36047000302,36047000302,"Census Tract 3.02, Kings County, New York",112414
1400000US36047000500,36047000500,"Census Tract 5, Kings County, New York",65013
1400000US36047000700,36047000700,"Census Tract 7, Kings County, New York",66213
1400000US36047000900,36047000900,"Census Tract 9, Kings County, New York",79201
1400000US36047001100,36047001100,"Census Tract 11, Kings County, New York",29732
1400000US36047001300,36047001300,"Census Tract 13, Kings County, New York",58828
1400000US36047001800,36047001800,"Census Tract 18, Kings County, New York",85000
1400000US36047002000,36047002000,"Census Tract 20, Kings County, New York",26813
1400000US36047002100,36047002100,"Census Tract 21, Kings County, New York",74464
