Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2010 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2010 inflation-adjusted dollars)
1400000US36005018101,36005018101,"Census Tract 181.01, Bronx County, New York",34623,10064
1400000US36005018102,36005018102,"Census Tract 181.02, Bronx County, New York",35424,8776
1400000US36005018301,36005018301,"Census Tract 183.01, Bronx County, New York",28630,5385
1400000US36005018302,36005018302,"Census Tract 183.02, Bronx County, New York",32467,7569
1400000US36005018400,36005018400,"Census Tract 184, Bronx County, New York",58750,19022
1400000US36005018500,36005018500,"Census Tract 185, Bronx County, New York",22473,5044
1400000US36005018900,36005018900,"Census Tract 189, Bronx County, New York",27294,7085
1400000US36005019300,36005019300,"Census Tract 193, Bronx County, New York",17287,3508
1400000US36005019400,36005019400,"Census Tract 194, Bronx County, New York",40455,12164
1400000US36005019500,36005019500,"Census Tract 195, Bronx County, New York",34821,4219
1400000US36005019700,36005019700,"Census Tract 197, Bronx County, New York",24543,4600
1400000US36005019900,36005019900,"Census Tract 199, Bronx County, New York",30880,6107
1400000US36005020000,36005020000,"Census Tract 200, Bronx County, New York",32145,7579
1400000US36005020100,36005020100,"Census Tract 201, Bronx County, New York",31538,6276
1400000US36005020200,36005020200,"Census Tract 202, Bronx County, New York",38333,11887
1400000US36005020400,36005020400,"Census Tract 204, Bronx County, New York",39375,12498
1400000US36005020501,36005020501,"Census Tract 205.01, Bronx County, New York",23615,3138
1400000US36005020502,36005020502,"Census Tract 205.02, Bronx County, New York",35709,23981
1400000US36005020601,36005020601,"Census Tract 206.01, Bronx County, New York",43479,14866
1400000US36005020900,36005020900,"Census Tract 209, Bronx County, New York",27440,7930
1400000US36005021001,36005021001,"Census Tract 210.01, Bronx County, New York",47444,6067
1400000US36005021002,36005021002,"Census Tract 210.02, Bronx County, New York",47280,6886
1400000US36005021100,36005021100,"Census Tract 211, Bronx County, New York",25875,9828
1400000US36005021200,36005021200,"Census Tract 212, Bronx County, New York",50578,4772
1400000US36005021301,36005021301,"Census Tract 213.01, Bronx County, New York",21500,13410
1400000US36005021302,36005021302,"Census Tract 213.02, Bronx County, New York",26302,7746
1400000US36005021501,36005021501,"Census Tract 215.01, Bronx County, New York",27386,9878
