dt,sensor,lux,con,spl
6/25/2016 16:00,sensor_4,7233.875,2080.6975,75.08425808
6/25/2016 20:00,sensor_0,175.125,2594.2475,75.02305045
6/25/2016 20:00,sensor_2,114.625,1729.84125,71.91793735
6/25/2016 20:00,sensor_3,76,1937.2375,82.12352808
6/25/2016 20:00,sensor_4,246.75,2156.935,70.48825005
6/26/2016 0:00,sensor_0,0,2156.685,69.56302501
6/26/2016 0:00,sensor_2,0,1658.82,72.19218296
6/26/2016 0:00,sensor_3,0,1819.09875,78.19488978
6/26/2016 0:00,sensor_4,0,2307.68,69.98077851
6/26/2016 4:00,sensor_0,3491.625,2129.61875,67.7594924
6/26/2016 4:00,sensor_2,3575.25,2105.245,68.89698694
6/26/2016 4:00,sensor_3,636.75,1876.6825,72.62566545
6/26/2016 4:00,sensor_4,3420,2522.09,69.62447005
6/26/2016 8:00,sensor_0,17494.5,2355.6325,71.50122527
6/26/2016 8:00,sensor_2,14483.5,2513.52375,73.18006597
6/26/2016 8:00,sensor_3,2731.875,2365.8,74.87569056
6/26/2016 8:00,sensor_4,4504.375,2728.635,71.27354469
6/26/2016 12:00,sensor_0,5088.25,2862.50375,83.89700043
6/26/2016 12:00,sensor_2,6324,2057.1475,77.67676274
6/26/2016 12:00,sensor_3,4061.625,2297.36,81.9061963
6/26/2016 12:00,sensor_4,22047.875,2434.5775,76.66062876
6/26/2016 16:00,sensor_0,16427.375,3342.08,82.38258615
6/26/2016 16:00,sensor_2,3129.25,2331.305,74.50348215
6/26/2016 16:00,sensor_3,3548.5,2140.6125,76.6621295
6/26/2016 16:00,sensor_4,9120.875,2466.6425,75.08370221
6/26/2016 20:00,sensor_0,193,2821.91125,74.31976211
6/26/2016 20:00,sensor_2,132.625,1676.8875,73.06372651
6/26/2016 20:00,sensor_3,91.625,1788.09,73.8369105
6/26/2016 20:00,sensor_4,277.625,2724.10875,70.48825005
6/27/2016 0:00,sensor_0,0,2570.56125,71.20676013
6/27/2016 0:00,sensor_2,0,2037.58625,70.37151594
6/27/2016 0:00,sensor_3,0,1873.90375,73.83136874
6/27/2016 0:00,sensor_4,0,2788.3,70.15359741
6/27/2016 4:00,sensor_0,3384.25,3148.09875,73.55447211
6/27/2016 4:00,sensor_2,3442.375,2076.255,71.44078268
6/27/2016 4:00,sensor_3,627.25,1751.15375,80.11217493
6/27/2016 4:00,sensor_4,3462.875,2716.1025,71.27067474
6/27/2016 8:00,sensor_0,22738.125,2693.875,79.34343457
6/27/2016 8:00,sensor_2,15645.375,2651.1875,74.52717271
6/27/2016 8:00,sensor_3,2776.875,2462.49375,78.71995193
6/27/2016 8:00,sensor_4,10109.125,2618.305,72.78169396
6/27/2016 12:00,sensor_0,28065.75,3524.3525,84.30422609
6/27/2016 12:00,sensor_2,10008.125,2956.91625,75.32828819
6/27/2016 12:00,sensor_3,5855,3061.90375,79.73126556
6/27/2016 12:00,sensor_4,32921.5,3757.48875,78.13095706
6/27/2016 16:00,sensor_0,19750.75,4123.045,85.09583819
6/27/2016 16:00,sensor_2,6128.75,3402.76375,74.18120368
6/27/2016 16:00,sensor_3,4665.75,3708.8075,77.13040765
6/27/2016 16:00,sensor_4,14284,4246.49625,76.89977297
6/27/2016 20:00,sensor_0,44,42612.265,76.76605396
6/27/2016 20:00,sensor_2,32,2918.4875,71.07543641
6/27/2016 20:00,sensor_3,16.5,2412.955,78.96646019
6/27/2016 20:00,sensor_4,64.125,3656.21125,73.50425228
6/28/2016 0:00,sensor_0,0,3011.03625,71.50122527
6/28/2016 0:00,sensor_2,0,2266.00625,70.73933662
